Cliente;Vlr_EUSD;Mês_EUSD
15021;178,72;EUSD_MAI18
15097;346,12;EUSD_MAI18
15252;55,60;EUSD_MAI18
15340;58,38;EUSD_MAI18
15366;19,85;EUSD_MAI18
15372;246,23;EUSD_MAI18
15457;41,70;EUSD_MAI18
15794;350,29;EUSD_MAI18
15917;5,95;EUSD_MAI18
16097;652,33;EUSD_MAI18
16447;5,95;EUSD_MAI18
16525;355,25;EUSD_MAI18
16766;9,92;EUSD_MAI18
16775;85,78;EUSD_MAI18
16981;19,85;EUSD_MAI18
17000;112,19;EUSD_MAI18
17005;255,77;EUSD_MAI18
17087;5,95;EUSD_MAI18
17141;5,95;EUSD_MAI18
17386;19,85;EUSD_MAI18
17488;85,38;EUSD_MAI18
17549;0,00;EUSD_MAI18
17727;0,00;EUSD_MAI18
17784;37,33;EUSD_MAI18
17792;65,33;EUSD_MAI18
17796;0,00;EUSD_MAI18
17858;54,41;EUSD_MAI18
17965;142,97;EUSD_MAI18
18089;69,10;EUSD_MAI18
18116;126,29;EUSD_MAI18
18189;57,58;EUSD_MAI18
18340;166,80;EUSD_MAI18
18367;19,85;EUSD_MAI18
18411;39,31;EUSD_MAI18
18525;44,08;EUSD_MAI18
18591;0,00;EUSD_MAI18
18608;59,97;EUSD_MAI18
18621;0,00;EUSD_MAI18
18627;63,54;EUSD_MAI18
18735;51,63;EUSD_MAI18
18844;733,75;EUSD_MAI18
18846;1344,78;EUSD_MAI18
19048;447,40;EUSD_MAI18
19069;19,85;EUSD_MAI18
19079;0,00;EUSD_MAI18
19080;0,00;EUSD_MAI18
19236;20,85;EUSD_MAI18
19378;19,85;EUSD_MAI18
19428;0,00;EUSD_MAI18
19480;33,56;EUSD_MAI18
19514;9,92;EUSD_MAI18
19516;9,92;EUSD_MAI18
19517;9,92;EUSD_MAI18
19519;9,92;EUSD_MAI18
19520;19,85;EUSD_MAI18
19521;0,00;EUSD_MAI18
19522;9,92;EUSD_MAI18
19523;9,92;EUSD_MAI18
19525;5,95;EUSD_MAI18
19526;5,95;EUSD_MAI18
19527;5,95;EUSD_MAI18
19528;5,95;EUSD_MAI18
19530;5,95;EUSD_MAI18
19531;5,95;EUSD_MAI18
19534;5,95;EUSD_MAI18
19535;5,95;EUSD_MAI18
19536;5,95;EUSD_MAI18
19537;5,95;EUSD_MAI18
19538;9,92;EUSD_MAI18
19540;5,95;EUSD_MAI18
19542;5,95;EUSD_MAI18
19543;5,95;EUSD_MAI18
19545;5,95;EUSD_MAI18
19546;5,95;EUSD_MAI18
19548;9,92;EUSD_MAI18
19549;5,95;EUSD_MAI18
19550;5,95;EUSD_MAI18
19551;5,95;EUSD_MAI18
19553;5,95;EUSD_MAI18
19555;5,95;EUSD_MAI18
19556;14,49;EUSD_MAI18
19728;0,00;EUSD_MAI18
19734;15,68;EUSD_MAI18
19758;0,00;EUSD_MAI18
19777;18,86;EUSD_MAI18
19828;5,95;EUSD_MAI18
20229;5,95;EUSD_MAI18
20253;5,95;EUSD_MAI18
20304;22,04;EUSD_MAI18
20342;21,04;EUSD_MAI18
20350;45,07;EUSD_MAI18
20398;5,95;EUSD_MAI18
20448;845,75;EUSD_MAI18
20505;25,61;EUSD_MAI18
20531;0,00;EUSD_MAI18
20631;33,56;EUSD_MAI18
20669;25,81;EUSD_MAI18
20681;36,93;EUSD_MAI18
20720;0,00;EUSD_MAI18
20969;5,95;EUSD_MAI18
21000;0,00;EUSD_MAI18
21136;0,00;EUSD_MAI18
21198;5,95;EUSD_MAI18
21251;0,00;EUSD_MAI18
21255;71,09;EUSD_MAI18
21273;19,85;EUSD_MAI18
21294;103,06;EUSD_MAI18
21361;5,95;EUSD_MAI18
21408;25,41;EUSD_MAI18
21425;5,95;EUSD_MAI18
21609;5,95;EUSD_MAI18
21693;69,50;EUSD_MAI18
21755;88,76;EUSD_MAI18
21813;86,58;EUSD_MAI18
21888;123,71;EUSD_MAI18
21894;0,00;EUSD_MAI18
22027;71,29;EUSD_MAI18
22028;71,29;EUSD_MAI18
22047;45,67;EUSD_MAI18
22112;5,95;EUSD_MAI18
22157;5,95;EUSD_MAI18
22249;47,06;EUSD_MAI18
22260;129,07;EUSD_MAI18
22265;45,47;EUSD_MAI18
22291;5,95;EUSD_MAI18
22302;357,44;EUSD_MAI18
22316;31,17;EUSD_MAI18
22317;30,97;EUSD_MAI18
22368;86,58;EUSD_MAI18
22428;24,02;EUSD_MAI18
22459;69,90;EUSD_MAI18
22509;446,80;EUSD_MAI18
22523;39,71;EUSD_MAI18
22706;40,31;EUSD_MAI18
22709;75,26;EUSD_MAI18
22723;202,55;EUSD_MAI18
22825;19,85;EUSD_MAI18
22851;378,69;EUSD_MAI18
22854;43,88;EUSD_MAI18
23138;41,30;EUSD_MAI18
23153;51,23;EUSD_MAI18
23173;5,95;EUSD_MAI18
23315;19,85;EUSD_MAI18
23316;0,00;EUSD_MAI18
23329;19,85;EUSD_MAI18
23336;19,85;EUSD_MAI18
23419;19,85;EUSD_MAI18
23606;49,44;EUSD_MAI18
23702;341,55;EUSD_MAI18
23738;19,85;EUSD_MAI18
23845;28,39;EUSD_MAI18
24047;19,85;EUSD_MAI18
24051;14,69;EUSD_MAI18
24071;5,95;EUSD_MAI18
24096;19,85;EUSD_MAI18
24097;9,92;EUSD_MAI18
24098;9,92;EUSD_MAI18
24099;9,92;EUSD_MAI18
24100;9,92;EUSD_MAI18
24101;9,92;EUSD_MAI18
24103;19,85;EUSD_MAI18
24105;9,92;EUSD_MAI18
24106;9,92;EUSD_MAI18
24107;19,85;EUSD_MAI18
24108;19,85;EUSD_MAI18
24110;9,92;EUSD_MAI18
24111;0,00;EUSD_MAI18
24112;19,85;EUSD_MAI18
24113;9,92;EUSD_MAI18
24114;19,85;EUSD_MAI18
24115;9,92;EUSD_MAI18
24118;9,92;EUSD_MAI18
24119;19,85;EUSD_MAI18
24120;9,92;EUSD_MAI18
24121;19,85;EUSD_MAI18
24122;19,85;EUSD_MAI18
24123;9,92;EUSD_MAI18
24126;9,92;EUSD_MAI18
24128;9,92;EUSD_MAI18
24131;9,92;EUSD_MAI18
24132;19,85;EUSD_MAI18
24219;0,00;EUSD_MAI18
24252;19,85;EUSD_MAI18
24267;270,06;EUSD_MAI18
24418;19,85;EUSD_MAI18
24486;0,00;EUSD_MAI18
24575;232,93;EUSD_MAI18
24650;5,95;EUSD_MAI18
24651;19,85;EUSD_MAI18
24652;19,85;EUSD_MAI18
24654;5,95;EUSD_MAI18
24656;5,95;EUSD_MAI18
24657;19,85;EUSD_MAI18
24658;5,95;EUSD_MAI18
24659;5,95;EUSD_MAI18
24660;19,85;EUSD_MAI18
24661;5,95;EUSD_MAI18
24663;19,85;EUSD_MAI18
24664;5,95;EUSD_MAI18
24665;9,92;EUSD_MAI18
24666;5,95;EUSD_MAI18
24667;9,92;EUSD_MAI18
24668;19,85;EUSD_MAI18
24669;5,95;EUSD_MAI18
24670;9,92;EUSD_MAI18
24671;5,95;EUSD_MAI18
24672;5,95;EUSD_MAI18
24673;5,95;EUSD_MAI18
24674;19,85;EUSD_MAI18
24677;19,85;EUSD_MAI18
24678;19,85;EUSD_MAI18
24679;5,95;EUSD_MAI18
24680;62,55;EUSD_MAI18
24681;19,85;EUSD_MAI18
24683;19,85;EUSD_MAI18
24684;19,85;EUSD_MAI18
24686;19,85;EUSD_MAI18
24743;24,02;EUSD_MAI18
24755;37,73;EUSD_MAI18
24757;76,85;EUSD_MAI18
24758;9,92;EUSD_MAI18
24817;365,38;EUSD_MAI18
24835;89,95;EUSD_MAI18
24840;19,85;EUSD_MAI18
24944;190,23;EUSD_MAI18
25026;69,10;EUSD_MAI18
25165;35,14;EUSD_MAI18
25169;0,00;EUSD_MAI18
25229;45,67;EUSD_MAI18
25240;239,09;EUSD_MAI18
25354;32,56;EUSD_MAI18
25479;37,73;EUSD_MAI18
25481;59,77;EUSD_MAI18
25529;0,00;EUSD_MAI18
25671;67,51;EUSD_MAI18
25695;32,76;EUSD_MAI18
25833;5,95;EUSD_MAI18
25837;63,34;EUSD_MAI18
25890;87,57;EUSD_MAI18
25987;37,92;EUSD_MAI18
26130;9,92;EUSD_MAI18
26166;19,85;EUSD_MAI18
26175;69,50;EUSD_MAI18
26293;2167,50;EUSD_MAI18
26574;0,00;EUSD_MAI18
26638;0,00;EUSD_MAI18
26662;19,85;EUSD_MAI18
26732;19,85;EUSD_MAI18
26756;45,47;EUSD_MAI18
26797;14,89;EUSD_MAI18
26845;41,90;EUSD_MAI18
26847;178,72;EUSD_MAI18
26881;121,13;EUSD_MAI18
26924;5,95;EUSD_MAI18
26925;5,95;EUSD_MAI18
26927;5,95;EUSD_MAI18
26932;5,95;EUSD_MAI18
26936;5,95;EUSD_MAI18
26941;5,95;EUSD_MAI18
26942;5,95;EUSD_MAI18
26943;5,95;EUSD_MAI18
26945;5,95;EUSD_MAI18
26950;5,95;EUSD_MAI18
26953;1,81;EUSD_MAI18
26954;19,85;EUSD_MAI18
27023;5,95;EUSD_MAI18
27102;24,82;EUSD_MAI18
27104;51,63;EUSD_MAI18
27108;29,58;EUSD_MAI18
27109;5,95;EUSD_MAI18
27112;50,63;EUSD_MAI18
27113;19,46;EUSD_MAI18
27114;27,80;EUSD_MAI18
27115;74,66;EUSD_MAI18
27116;39,31;EUSD_MAI18
27118;52,62;EUSD_MAI18
27122;37,53;EUSD_MAI18
27123;27,20;EUSD_MAI18
27124;27,40;EUSD_MAI18
27125;27,80;EUSD_MAI18
27126;81,41;EUSD_MAI18
27135;37,33;EUSD_MAI18
27138;5,95;EUSD_MAI18
27201;0,00;EUSD_MAI18
27299;2225,68;EUSD_MAI18
27300;493,81;EUSD_MAI18
27417;19,85;EUSD_MAI18
27460;9,33;EUSD_MAI18
27491;0,00;EUSD_MAI18
