Cliente;Vlr_EUSD;Mês_EUSD
8828;43,28;EUSD_AGO18
8829;17,31;EUSD_AGO18
8842;859,27;EUSD_AGO18
8895;0,00;EUSD_AGO18
8895;0,00;EUSD_AGO18
8917;8,24;EUSD_AGO18
8992;58,53;EUSD_AGO18
8992;58,53;EUSD_AGO18
9013;10,71;EUSD_AGO18
9021;51,32;EUSD_AGO18
9021;51,32;EUSD_AGO18
9161;18,13;EUSD_AGO18
9308;67,60;EUSD_AGO18
9357;6,18;EUSD_AGO18
9358;6,18;EUSD_AGO18
9358;6,18;EUSD_AGO18
9358;6,18;EUSD_AGO18
9358;6,18;EUSD_AGO18
9358;6,18;EUSD_AGO18
9358;6,18;EUSD_AGO18
9367;74,19;EUSD_AGO18
9423;16,07;EUSD_AGO18
9463;6,18;EUSD_AGO18
9766;40,19;EUSD_AGO18
9792;35,03;EUSD_AGO18
9942;33,18;EUSD_AGO18
9956;222,59;EUSD_AGO18
9962;789,60;EUSD_AGO18
9973;72,13;EUSD_AGO18
9975;74,19;EUSD_AGO18
9981;85,94;EUSD_AGO18
9981;85,94;EUSD_AGO18
10385;20,61;EUSD_AGO18
10560;6,18;EUSD_AGO18
10611;49,46;EUSD_AGO18
10752;62,03;EUSD_AGO18
10798;63,89;EUSD_AGO18
10806;70,07;EUSD_AGO18
10867;88,62;EUSD_AGO18
10942;76,67;EUSD_AGO18
11137;0,00;EUSD_AGO18
11138;0,00;EUSD_AGO18
11138;0,00;EUSD_AGO18
11138;0,00;EUSD_AGO18
11138;0,00;EUSD_AGO18
11144;20,61;EUSD_AGO18
11144;20,61;EUSD_AGO18
11395;85,32;EUSD_AGO18
11454;75,23;EUSD_AGO18
11542;61,83;EUSD_AGO18
11648;23,08;EUSD_AGO18
11709;29,47;EUSD_AGO18
11709;29,47;EUSD_AGO18
11798;35,03;EUSD_AGO18
11830;49,46;EUSD_AGO18
11917;54,00;EUSD_AGO18
11918;70,28;EUSD_AGO18
11919;57,50;EUSD_AGO18
11921;68,01;EUSD_AGO18
11922;103,46;EUSD_AGO18
11923;59,77;EUSD_AGO18
11923;59,77;EUSD_AGO18
11924;59,35;EUSD_AGO18
11925;37,30;EUSD_AGO18
11925;37,30;EUSD_AGO18
11926;27,82;EUSD_AGO18
11927;108,82;EUSD_AGO18
11927;108,82;EUSD_AGO18
11928;109,23;EUSD_AGO18
11930;28,03;EUSD_AGO18
11930;28,03;EUSD_AGO18
11931;35,24;EUSD_AGO18
11932;49,46;EUSD_AGO18
11933;60,59;EUSD_AGO18
11933;60,59;EUSD_AGO18
11937;65,74;EUSD_AGO18
11937;65,74;EUSD_AGO18
11938;96,04;EUSD_AGO18
11938;96,04;EUSD_AGO18
11939;52,55;EUSD_AGO18
11940;89,45;EUSD_AGO18
11942;172,10;EUSD_AGO18
11944;68,84;EUSD_AGO18
11945;77,49;EUSD_AGO18
11946;25,14;EUSD_AGO18
11947;20,61;EUSD_AGO18
11948;94,60;EUSD_AGO18
11949;95,01;EUSD_AGO18
11951;90,07;EUSD_AGO18
11952;77,49;EUSD_AGO18
11953;508,47;EUSD_AGO18
11953;508,47;EUSD_AGO18
11970;72,96;EUSD_AGO18
12114;20,61;EUSD_AGO18
12217;593,18;EUSD_AGO18
12217;593,18;EUSD_AGO18
12222;45,34;EUSD_AGO18
12347;57,71;EUSD_AGO18
12389;6,18;EUSD_AGO18
12437;8,03;EUSD_AGO18
12477;58,74;EUSD_AGO18
12485;53,38;EUSD_AGO18
12549;81,20;EUSD_AGO18
12596;25,14;EUSD_AGO18
12622;30,09;EUSD_AGO18
12705;44,31;EUSD_AGO18
12705;44,31;EUSD_AGO18
12743;58,94;EUSD_AGO18
12748;39,16;EUSD_AGO18
12748;39,16;EUSD_AGO18
12965;36,06;EUSD_AGO18
13001;501,25;EUSD_AGO18
13018;83,06;EUSD_AGO18
13018;83,06;EUSD_AGO18
13038;28,85;EUSD_AGO18
13085;25,35;EUSD_AGO18
13085;25,35;EUSD_AGO18
13087;41,01;EUSD_AGO18
13109;0,00;EUSD_AGO18
13109;0,00;EUSD_AGO18
13109;0,00;EUSD_AGO18
13109;0,00;EUSD_AGO18
13109;0,00;EUSD_AGO18
13109;0,00;EUSD_AGO18
13109;0,00;EUSD_AGO18
13116;38,95;EUSD_AGO18
13155;6,18;EUSD_AGO18
13207;24,11;EUSD_AGO18
13207;24,11;EUSD_AGO18
13223;19,37;EUSD_AGO18
13223;19,37;EUSD_AGO18
13238;39,57;EUSD_AGO18
13252;28,23;EUSD_AGO18
13264;31,53;EUSD_AGO18
13264;31,53;EUSD_AGO18
13422;31,12;EUSD_AGO18
13422;31,12;EUSD_AGO18
13430;55,23;EUSD_AGO18
13431;26,38;EUSD_AGO18
13493;16,28;EUSD_AGO18
13493;16,28;EUSD_AGO18
13498;34,00;EUSD_AGO18
13504;26,38;EUSD_AGO18
13504;26,38;EUSD_AGO18
13512;43,07;EUSD_AGO18
13512;43,07;EUSD_AGO18
13512;43,07;EUSD_AGO18
13636;6,18;EUSD_AGO18
13649;329,77;EUSD_AGO18
13652;38,74;EUSD_AGO18
13734;40,19;EUSD_AGO18
13788;25,35;EUSD_AGO18
13788;25,35;EUSD_AGO18
13845;25,14;EUSD_AGO18
13895;10,71;EUSD_AGO18
13900;41,22;EUSD_AGO18
13934;17,51;EUSD_AGO18
13952;51,93;EUSD_AGO18
13952;51,93;EUSD_AGO18
14021;52,76;EUSD_AGO18
14021;52,76;EUSD_AGO18
14094;39,98;EUSD_AGO18
14135;58,53;EUSD_AGO18
14182;26,58;EUSD_AGO18
14208;24,73;EUSD_AGO18
14208;24,73;EUSD_AGO18
14221;23,90;EUSD_AGO18
14252;35,03;EUSD_AGO18
14424;58,12;EUSD_AGO18
14426;20,61;EUSD_AGO18
14502;121,60;EUSD_AGO18
14750;1120,20;EUSD_AGO18
