Cliente;Vlr_EUSD;Mes_eusd;AnoEUSD;
15252;55.60;MAI_18;2018;
15340;58.38;MAI_18;2018;
15366;19.85;MAI_18;2018;
15372;246.23;MAI_18;2018;
15457;41.70;MAI_18;2018;
15794;350.29;MAI_18;2018;
15917;5.95;MAI_18;2018;
16097;652.33;MAI_18;2018;
16447;5.95;MAI_18;2018;
16525;355.25;MAI_18;2018;
16766;9.92;MAI_18;2018;
16775;85.78;MAI_18;2018;
16981;19.85;MAI_18;2018;
17000;112.19;MAI_18;2018;
17005;255.77;MAI_18;2018;
17087;5.95;MAI_18;2018;
17141;5.95;MAI_18;2018;
17386;19.85;MAI_18;2018;
17488;85.38;MAI_18;2018;
17549;0.00;MAI_18;2018;
17727;0.00;MAI_18;2018;
17784;37.33;MAI_18;2018;
17792;65.33;MAI_18;2018;
17796;0.00;MAI_18;2018;
17858;54.41;MAI_18;2018;
17965;142.97;MAI_18;2018;
18089;69.10;MAI_18;2018;
18116;126.29;MAI_18;2018;
18189;57.58;MAI_18;2018;
18340;166.80;MAI_18;2018;
18367;19.85;MAI_18;2018;
18411;39.31;MAI_18;2018;
18525;44.08;MAI_18;2018;
18591;0.00;MAI_18;2018;
18608;59.97;MAI_18;2018;
18621;0.00;MAI_18;2018;
18627;63.54;MAI_18;2018;
18735;51.63;MAI_18;2018;
18844;733.75;MAI_18;2018;
18846;1344.78;MAI_18;2018;
19048;447.40;MAI_18;2018;
19069;19.85;MAI_18;2018;
19079;0.00;MAI_18;2018;
19080;0.00;MAI_18;2018;
19236;20.85;MAI_18;2018;
19378;19.85;MAI_18;2018;
19428;0.00;MAI_18;2018;
19480;33.56;MAI_18;2018;
19514;9.92;MAI_18;2018;
19516;9.92;MAI_18;2018;
19517;9.92;MAI_18;2018;
19519;9.92;MAI_18;2018;
19520;19.85;MAI_18;2018;
19521;0.00;MAI_18;2018;
19522;9.92;MAI_18;2018;
19523;9.92;MAI_18;2018;
19525;5.95;MAI_18;2018;
19526;5.95;MAI_18;2018;
19527;5.95;MAI_18;2018;
19528;5.95;MAI_18;2018;
19530;5.95;MAI_18;2018;
19531;5.95;MAI_18;2018;
19534;5.95;MAI_18;2018;
19535;5.95;MAI_18;2018;
19536;5.95;MAI_18;2018;
19537;5.95;MAI_18;2018;
19538;9.92;MAI_18;2018;
19540;5.95;MAI_18;2018;
19542;5.95;MAI_18;2018;
19543;5.95;MAI_18;2018;
19545;5.95;MAI_18;2018;
19546;5.95;MAI_18;2018;
19548;9.92;MAI_18;2018;
19549;5.95;MAI_18;2018;
19550;5.95;MAI_18;2018;
19551;5.95;MAI_18;2018;
19553;5.95;MAI_18;2018;
19555;5.95;MAI_18;2018;
19556;14.49;MAI_18;2018;
19728;0.00;MAI_18;2018;
19734;15.68;MAI_18;2018;
19758;0.00;MAI_18;2018;
19777;18.86;MAI_18;2018;
19828;5.95;MAI_18;2018;
20229;5.95;MAI_18;2018;
20253;5.95;MAI_18;2018;
20304;22.04;MAI_18;2018;
20342;21.04;MAI_18;2018;
20350;45.07;MAI_18;2018;
20398;5.95;MAI_18;2018;
20448;845.75;MAI_18;2018;
20505;25.61;MAI_18;2018;
20531;0.00;MAI_18;2018;
20631;33.56;MAI_18;2018;
20669;25.81;MAI_18;2018;
20681;36.93;MAI_18;2018;
20720;0.00;MAI_18;2018;
20969;5.95;MAI_18;2018;
21000;0.00;MAI_18;2018;
21136;0.00;MAI_18;2018;
21198;5.95;MAI_18;2018;
21251;0.00;MAI_18;2018;
21255;71.09;MAI_18;2018;
21273;19.85;MAI_18;2018;
21294;103.06;MAI_18;2018;
21361;5.95;MAI_18;2018;
21408;25.41;MAI_18;2018;
21425;5.95;MAI_18;2018;
21609;5.95;MAI_18;2018;
21693;69.50;MAI_18;2018;
21755;88.76;MAI_18;2018;
21813;86.58;MAI_18;2018;
21888;123.71;MAI_18;2018;
21894;0.00;MAI_18;2018;
22027;71.29;MAI_18;2018;
22028;71.29;MAI_18;2018;
22047;45.67;MAI_18;2018;
22112;5.95;MAI_18;2018;
22157;5.95;MAI_18;2018;
22249;47.06;MAI_18;2018;
22260;129.07;MAI_18;2018;
22265;45.47;MAI_18;2018;
22291;5.95;MAI_18;2018;
22302;357.44;MAI_18;2018;
22316;31.17;MAI_18;2018;
22317;30.97;MAI_18;2018;
22368;86.58;MAI_18;2018;
22428;24.02;MAI_18;2018;
22459;69.90;MAI_18;2018;
22509;446.80;MAI_18;2018;
22523;39.71;MAI_18;2018;
22706;40.31;MAI_18;2018;
22709;75.26;MAI_18;2018;
22723;202.55;MAI_18;2018;
22825;19.85;MAI_18;2018;
22851;378.69;MAI_18;2018;
22854;43.88;MAI_18;2018;
23138;41.30;MAI_18;2018;
23153;51.23;MAI_18;2018;
23173;5.95;MAI_18;2018;
23315;19.85;MAI_18;2018;
23316;0.00;MAI_18;2018;
23329;19.85;MAI_18;2018;
23336;19.85;MAI_18;2018;
23419;19.85;MAI_18;2018;
23606;49.44;MAI_18;2018;
23702;341.55;MAI_18;2018;
23738;19.85;MAI_18;2018;
23845;28.39;MAI_18;2018;
24047;19.85;MAI_18;2018;
24051;14.69;MAI_18;2018;
24071;5.95;MAI_18;2018;
24096;19.85;MAI_18;2018;
24097;9.92;MAI_18;2018;
24098;9.92;MAI_18;2018;
24099;9.92;MAI_18;2018;
24100;9.92;MAI_18;2018;
24101;9.92;MAI_18;2018;
24103;19.85;MAI_18;2018;
24105;9.92;MAI_18;2018;
24106;9.92;MAI_18;2018;
24107;19.85;MAI_18;2018;
24108;19.85;MAI_18;2018;
24110;9.92;MAI_18;2018;
24111;0.00;MAI_18;2018;
24112;19.85;MAI_18;2018;
24113;9.92;MAI_18;2018;
24114;19.85;MAI_18;2018;
24115;9.92;MAI_18;2018;
24118;9.92;MAI_18;2018;
24119;19.85;MAI_18;2018;
24120;9.92;MAI_18;2018;
24121;19.85;MAI_18;2018;
24122;19.85;MAI_18;2018;
24123;9.92;MAI_18;2018;
24126;9.92;MAI_18;2018;
24128;9.92;MAI_18;2018;
24131;9.92;MAI_18;2018;
24132;19.85;MAI_18;2018;
24219;0.00;MAI_18;2018;
24252;19.85;MAI_18;2018;
24267;270.06;MAI_18;2018;
24418;19.85;MAI_18;2018;
24486;0.00;MAI_18;2018;
24575;232.93;MAI_18;2018;
24650;5.95;MAI_18;2018;
24651;19.85;MAI_18;2018;
24652;19.85;MAI_18;2018;
24654;5.95;MAI_18;2018;
24656;5.95;MAI_18;2018;
24657;19.85;MAI_18;2018;
24658;5.95;MAI_18;2018;
24659;5.95;MAI_18;2018;
24660;19.85;MAI_18;2018;
24661;5.95;MAI_18;2018;
24663;19.85;MAI_18;2018;
24664;5.95;MAI_18;2018;
24665;9.92;MAI_18;2018;
24666;5.95;MAI_18;2018;
24667;9.92;MAI_18;2018;
24668;19.85;MAI_18;2018;
24669;5.95;MAI_18;2018;
24670;9.92;MAI_18;2018;
24671;5.95;MAI_18;2018;
24672;5.95;MAI_18;2018;
24673;5.95;MAI_18;2018;
24674;19.85;MAI_18;2018;
24677;19.85;MAI_18;2018;
24678;19.85;MAI_18;2018;
24679;5.95;MAI_18;2018;
24680;62.55;MAI_18;2018;
24681;19.85;MAI_18;2018;
24683;19.85;MAI_18;2018;
24684;19.85;MAI_18;2018;
24686;19.85;MAI_18;2018;
24743;24.02;MAI_18;2018;
24755;37.73;MAI_18;2018;
24757;76.85;MAI_18;2018;
24758;9.92;MAI_18;2018;
24817;365.38;MAI_18;2018;
24835;89.95;MAI_18;2018;
24840;19.85;MAI_18;2018;
24944;190.23;MAI_18;2018;
25026;69.10;MAI_18;2018;
25165;35.14;MAI_18;2018;
25169;0.00;MAI_18;2018;
