Cliente;Vlr_EUSD;Mes_eusd;AnoEUSD;
9021;51.32;AGO_18;2018;
9161;18.13;AGO_18;2018;
9308;67.60;AGO_18;2018;
9357;6.18;AGO_18;2018;
9358;6.18;AGO_18;2018;
9358;6.18;AGO_18;2018;
9358;6.18;AGO_18;2018;
9358;6.18;AGO_18;2018;
9358;6.18;AGO_18;2018;
9358;6.18;AGO_18;2018;
9367;74.19;AGO_18;2018;
9423;16.07;AGO_18;2018;
9463;6.18;AGO_18;2018;
9766;40.19;AGO_18;2018;
9792;35.03;AGO_18;2018;
9942;33.18;AGO_18;2018;
9956;222.59;AGO_18;2018;
9962;789.60;AGO_18;2018;
9973;72.13;AGO_18;2018;
9975;74.19;AGO_18;2018;
9981;85.94;AGO_18;2018;
9981;85.94;AGO_18;2018;
10385;20.61;AGO_18;2018;
10560;6.18;AGO_18;2018;
10611;49.46;AGO_18;2018;
10752;62.03;AGO_18;2018;
10798;63.89;AGO_18;2018;
10806;70.07;AGO_18;2018;
10867;88.62;AGO_18;2018;
10942;76.67;AGO_18;2018;
11137;0.00;AGO_18;2018;
11138;0.00;AGO_18;2018;
11138;0.00;AGO_18;2018;
11138;0.00;AGO_18;2018;
11138;0.00;AGO_18;2018;
11144;20.61;AGO_18;2018;
11144;20.61;AGO_18;2018;
11395;85.32;AGO_18;2018;
11454;75.23;AGO_18;2018;
11542;61.83;AGO_18;2018;
11648;23.08;AGO_18;2018;
11709;29.47;AGO_18;2018;
11709;29.47;AGO_18;2018;
11798;35.03;AGO_18;2018;
11830;49.46;AGO_18;2018;
11917;54.00;AGO_18;2018;
11918;70.28;AGO_18;2018;
11919;57.50;AGO_18;2018;
11921;68.01;AGO_18;2018;
11922;103.46;AGO_18;2018;
11923;59.77;AGO_18;2018;
11923;59.77;AGO_18;2018;
11924;59.35;AGO_18;2018;
11925;37.30;AGO_18;2018;
11925;37.30;AGO_18;2018;
11926;27.82;AGO_18;2018;
11927;108.82;AGO_18;2018;
11927;108.82;AGO_18;2018;
11928;109.23;AGO_18;2018;
11930;28.03;AGO_18;2018;
11930;28.03;AGO_18;2018;
11931;35.24;AGO_18;2018;
11932;49.46;AGO_18;2018;
11933;60.59;AGO_18;2018;
11933;60.59;AGO_18;2018;
11937;65.74;AGO_18;2018;
11937;65.74;AGO_18;2018;
11938;96.04;AGO_18;2018;
11938;96.04;AGO_18;2018;
11939;52.55;AGO_18;2018;
11940;89.45;AGO_18;2018;
11942;172.10;AGO_18;2018;
11944;68.84;AGO_18;2018;
11945;77.49;AGO_18;2018;
11946;25.14;AGO_18;2018;
11947;20.61;AGO_18;2018;
11948;94.60;AGO_18;2018;
11949;95.01;AGO_18;2018;
11951;90.07;AGO_18;2018;
11952;77.49;AGO_18;2018;
11953;508.47;AGO_18;2018;
11953;508.47;AGO_18;2018;
11970;72.96;AGO_18;2018;
12114;20.61;AGO_18;2018;
12217;593.18;AGO_18;2018;
12217;593.18;AGO_18;2018;
12222;45.34;AGO_18;2018;
